PanStarrs_name,dr7objid,ra_panstarr,dec_panstarr,ra_sdss,dec_sdss,spherical_cos_distance
UGC4659 ,587728931342516423,2.332962063453198,0.8221354242897517,2.3329627554053336,0.822136398882325,0.999999999999414
NGC2139 ,587727177940009179,1.5757277545964066,-0.41316551063931045,1.1050641967232455,-0.11354016508182058,0.8565052595662572
NGC237 ,587731186208669747,0.18964765105462902,-0.002180439834516516,0.1896474944456907,-0.0021803491560433517,0.9999999999999837
NGC4030 ,587722981740118046,3.1433107557054565,-0.01920019256826442,3.143310802284402,-0.01920025470403411,0.9999999999999971
NGC1784 ,587727177940009179,1.3327843804370283,-0.20719728574928242,1.1050641967232455,-0.11354016508182058,0.9705158365204505
UGC9177 ,587736477590094017,3.754675158069542,0.18207414383145004,3.7542950753372346,0.18315717560942477,0.9999993436718722
UGC6903 ,588848901522784443,3.1224624487245336,0.02159268990689825,3.1224630287688284,0.02159289162471164,0.9999999999998115
NGC450 ,587731511532060697,0.3294630103721664,-0.015026761260895579,0.3294632604710728,-0.015026867471438846,0.999999999999963
NGC7489 ,587727223555555577,6.05430789052788,0.40139082137365595,6.055630076494366,0.27136635162767264,0.9915579461338693
UGC6537 ,588017111292772356,3.025318993354856,0.8208145591118424,3.025319682646185,0.8208150149683718,0.9999999999997857
NGC2500 ,587737810106712081,2.102627995007778,0.8855296224465402,2.1026251510285463,0.8855292594970825,0.9999999999983142
NGC6154 ,587725994108780659,4.30009020025192,0.869876637050029,4.300089987683278,0.8698768482130553,0.9999999999999685
NGC864 ,587731514223034543,0.591058718247608,0.10476530821313682,0.594084164813356,0.021904034961647296,0.9965644180159643
NGC3614 ,588017110217785386,2.959883807170786,0.798456891393795,2.9598838316299694,0.7984563542587868,0.9999999999998557
PGC56010 ,588018089468756204,4.13019409127626,0.5798551007132061,4.130193688265284,0.5798549497660268,0.9999999999999316
NGC4064 ,587742775632855083,3.1598571751460636,0.32189840432817257,3.159857917805093,0.3219010631731328,0.999999999996217
UGC4256 ,587731680650461206,2.1391322544449403,0.592654996381482,2.139131923746568,0.5926552112911596,0.9999999999999392
NGC5383 ,588017604155277361,3.652463092019148,0.7303550166456023,3.652463086912297,0.7303550108968001,1.0
UGC1529 ,587724197210685502,0.5345782928567447,0.19361077018713257,0.5364992589173997,0.21531119050242836,0.9997627863435428
NGC3106 ,587739408380264507,2.6358290485517744,0.5442889557489908,2.6358291178597937,0.5442890080496685,0.9999999999999969
